file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,47,css,972228be,dkanodia,2025-05-02,22:35:26,-07:00,2025-05-02T22:35:26-07:00,0,70
style.css,48,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,46
style.css,49,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,50,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,51,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,5
style.css,52,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,8
style.css,53,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,6
style.css,54,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,7
style.css,55,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,13
style.css,56,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,11
style.css,57,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,22
style.css,58,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,59,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,60,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,5
style.css,61,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,13
style.css,62,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,31
style.css,63,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,8
style.css,64,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,65,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,66,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,6
style.css,67,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,13
style.css,68,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,30
style.css,69,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,19
style.css,70,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,8
style.css,71,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,72,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,73,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,7
style.css,74,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,19
style.css,75,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,76,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,77,css,8bcd6163,dkanodia,2025-04-18,20:02:15,-07:00,2025-04-18T20:02:15-07:00,0,10
style.css,78,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,13
style.css,79,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,59
style.css,80,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,8
style.css,81,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,82,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,83,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,8
style.css,84,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,13
style.css,85,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,27
style.css,86,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,16
style.css,87,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,8
style.css,88,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,89,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,90,css,8bcd6163,dkanodia,2025-04-18,20:02:15,-07:00,2025-04-18T20:02:15-07:00,0,11
style.css,91,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,9
style.css,92,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,93,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,0
style.css,94,css,50f4f51c,dkanodia,2025-04-11,22:21:51,-07:00,2025-04-11T22:21:51-07:00,0,3
